bitcoin-marketcap_raw,difficulty-btc-trx-14,difficulty-btc-trx-30,difficulty-btc-trx-90,difficulty-btc-rsi-30,difficulty-btc-rsi-90,difficulty-btc-roc-30,hashrate-btc-sma-90,hashrate-btc-std-90,hashrate-btc-var-30,hashrate-btc-var-90,hashrate-btc-trx-30,hashrate-btc-trx-90,mining_profitability-btc-sma-3,mining_profitability-btc-sma-30,mining_profitability-btc-sma-90,mining_profitability-btc-wma-90,mining_profitability-btc-std-14,mining_profitability-btc-var-14,mining_profitability-btc-trx-90,sentinusd-btc-ema-30,transactionfees-btc-sma-90,transactionfees-btc-ema-90,transactionfees-btc-std-90,transactionfees-btc-var-90,median_transaction_fee-btc-wma-30,median_transaction_fee-btc-std-14,median_transaction_fee-btc-trx-90,confirmationtime-btc-sma-90,confirmationtime-btc-wma-90,confirmationtime-btc-trx-90,marketcap-btc-wma-90,marketcap-btc-rsi-90,transactionvalue-btc-ema-30,transactionvalue-btc-std-30,transactionvalue-btc-std-90,transactionvalue-btc-var-30,transactionvalue-btc-var-90,transactionvalue-btc-trx-90,mediantransactionvalue-btc-sma-30,mediantransactionvalue-btc-var-90,mediantransactionvalue-btc-trx-30,fee_to_reward-btc-std-90,fee_to_reward-btc-var-90,transactions-btc-sma-30,transactions-btc-sma-90,transactions-btc-std-90,transactions-btc-var-90,sentbyaddress-btc-ema-30,sentbyaddress-btc-wma-30,top100cap-btc-sma-90,top100cap-btc-trx-90,activeaddresses-btc-sma-90
6251002795,0.855,0.834,0.356,99.996,99.287,21.301,6.379279599192773e+17,2.845870057453979e+17,5.4574923019797e+33,2.0247440959783e+34,0.761,0.414,1.744,2.089,2.455,2.315,0.457,0.052,-0.037,1331391746,0.069,0.07,0.021,0.001,0.042,0.006,0.304,9.268,9.28,-0.044,6113351428,56.526,7178,9370.0,7498.0,21949316,14056257,0.609,121.982,3241.0,-0.396,0.329,0.027,182325,176242,53398,712846505,300154,297888,19.741,-0.018,370765
5941306393,0.834,0.834,0.362,99.996,99.287,21.301,6.429532811041528e+17,2.8655822083541552e+17,5.6751448799031e+33,2.052890348209e+34,0.752,0.418,1.885,2.077,2.451,2.304,0.399,0.04,-0.039,1437350738,0.07,0.07,0.021,0.001,0.042,0.005,0.305,9.249,9.256,-0.044,6117900912,54.646,7632,9771.0,7645.0,23869717,14612974,0.612,117.442,3185.0,-0.431,0.332,0.027,182078,177059,53404,713000252,302286,300934,19.734,-0.018,371693
5870827719,0.809,0.832,0.367,99.996,99.287,21.301,6.486523175351953e+17,2.926513663166636e+17,6.3375310704063e+33,2.1411205551753e+34,0.748,0.423,1.878,2.062,2.444,2.289,0.391,0.038,-0.041,2087560787,0.07,0.07,0.021,0.001,0.041,0.005,0.306,9.235,9.23,-0.043,6120434209,54.23,11065,21907.0,13723.0,119976792,47078990,0.63,111.743,3163.0,-0.46,0.33,0.027,181416,177714,52584,691264662,303608,303251,19.727,-0.019,372764
5986340102,0.78,0.829,0.372,99.996,99.287,21.301,6.541058764229079e+17,2.968796830216381e+17,5.9943583802203e+33,2.2034386547757e+34,0.746,0.427,1.847,2.026,2.436,2.275,0.314,0.025,-0.043,3672300758,0.07,0.071,0.021,0.001,0.041,0.005,0.306,9.231,9.212,-0.043,6125089352,54.8,18907,49870.0,29687.0,621753711,220334551,0.682,106.898,3163.0,-0.477,0.329,0.027,182117,178658,51168,654534997,304862,305530,19.719,-0.019,373412
5987073722,0.749,0.824,0.378,99.996,99.287,21.301,6.599886369955703e+17,3.0365424292596896e+17,7.1102772762532e+33,2.3051474811736e+34,0.749,0.432,1.731,2.003,2.428,2.257,0.293,0.021,-0.045,3875496138,0.07,0.071,0.021,0.001,0.041,0.004,0.307,9.221,9.204,-0.043,6129302368,54.803,19687,50287.0,30042.0,632202849,225632390,0.737,106.947,3167.0,-0.493,0.335,0.028,183543,179418,51685,667837377,307768,309387,19.711,-0.019,374814
5941533615,0.723,0.819,0.383,99.996,99.342,24.651,6.656302937916133e+17,3.055304246958968e+17,7.4068181621068e+33,2.3337210103714e+34,0.752,0.437,1.697,1.979,2.42,2.241,0.226,0.013,-0.048,3884931085,0.071,0.071,0.021,0.001,0.041,0.003,0.307,9.206,9.199,-0.043,6132085262,54.53,19561,50203.0,30082.0,630083397,226235072,0.789,109.345,3163.0,-0.498,0.342,0.029,185887,180200,52608,691890036,311707,314323,19.703,-0.019,376607
5960108908,0.708,0.815,0.388,99.997,99.395,28.448,6.711400809517275e+17,3.0642339141489786e+17,7.7197552396428e+33,2.3473823701552e+34,0.754,0.441,1.655,1.969,2.408,2.224,0.233,0.014,-0.05,3983891751,0.071,0.071,0.021,0.001,0.041,0.003,0.307,9.203,9.201,-0.043,6134893174,54.623,19839,50254.0,30230.0,631366293,228463954,0.841,110.311,3154.0,-0.497,0.354,0.031,187771,180962,53449,714204848,314835,318417,19.697,-0.02,377588
5804152379,0.699,0.811,0.393,99.997,99.395,28.448,6.756239280319169e+17,3.080242344833998e+17,7.4185278021546e+33,2.3719732257271e+34,0.755,0.446,1.642,1.943,2.395,2.206,0.237,0.014,-0.053,3874205871,0.071,0.072,0.021,0.001,0.041,0.002,0.307,9.219,9.216,-0.042,6133907472,53.687,19229,50164.0,30218.0,629105499,228277800,0.888,109.869,3164.0,-0.496,0.366,0.034,189119,181610,54144,732898268,317742,322296,19.691,-0.02,378950
5686750560,0.692,0.808,0.398,99.997,99.395,28.448,6.80851334552672e+17,3.124598266789105e+17,7.8468471285324e+33,2.4407785822054e+34,0.757,0.451,1.626,1.92,2.387,2.189,0.242,0.015,-0.056,3794938709,0.071,0.072,0.021,0.001,0.04,0.002,0.307,9.205,9.2,-0.042,6130055282,52.996,18764,50073.0,30201.0,626829857,228031457,0.932,110.296,3139.0,-0.495,0.37,0.034,190717,182377,54581,744769745,319920,325451,19.686,-0.02,380352
5722661381,0.685,0.803,0.403,99.997,99.395,21.027,6.872500855000017e+17,3.183184286927721e+17,8.6962545042108e+33,2.5331655511359e+34,0.762,0.456,1.64,1.909,2.377,2.174,0.243,0.015,-0.059,3630624797,0.071,0.072,0.021,0.001,0.04,0.002,0.306,9.186,9.167,-0.042,6126720721,53.182,18009,49978.0,30180.0,624453217,227710339,0.97,111.547,3132.0,-0.489,0.369,0.034,192030,182846,54265,736183258,319881,326360,19.681,-0.02,381491
