Date,bitcoin-difficulty_raw,difficulty-btc-sma-3,difficulty-btc-sma-7,difficulty-btc-sma-14,difficulty-btc-sma-30,difficulty-btc-sma-90,difficulty-btc-ema-3,difficulty-btc-ema-7,difficulty-btc-ema-14,difficulty-btc-ema-30,difficulty-btc-ema-90,difficulty-btc-wma-3,difficulty-btc-wma-7,difficulty-btc-wma-14,difficulty-btc-wma-30,difficulty-btc-wma-90,difficulty-btc-var-90,hashrate-btc-sma-7,hashrate-btc-sma-14,hashrate-btc-sma-30,hashrate-btc-sma-90,hashrate-btc-ema-14,hashrate-btc-ema-30,hashrate-btc-ema-90,hashrate-btc-wma-14,hashrate-btc-wma-30,hashrate-btc-wma-90,hashrate-btc-std-90,hashrate-btc-var-90,hashrate-btc-trx-90,mining_profitability-btc-sma-90,mining_profitability-btc-std-90,transactionfees-btc-trx-90,marketcap-btc-sma-90,marketcap-btc-ema-90,marketcap-btc-wma-90,fee_to_reward-btc-sma-90,transactions-btc-sma-90,sentbyaddress-btc-sma-30,sentbyaddress-btc-ema-30,sentbyaddress-btc-wma-30,top100cap-btc-sma-30,top100cap-btc-sma-90,top100cap-btc-ema-90,top100cap-btc-wma-90,price-btc-sma-90,price-btc-ema-90,price-btc-wma-90,bitcoin-price_raw_1d,bitcoin-price_raw_7d,bitcoin-price_raw_30d,bitcoin-price_raw_90d
2013-05-01,10076293,9635001,9257455,9115876,8238536,5614474,9745256,9392720,9023127,8249985,6293687,9818667,9438392,9230196,8713902,6797933,4566138193669.0,75424006125837.0,72932865659431.0,67509825513599.0,46947728528847.0,73009849002958.0,67484673004341.0,51771344194335.0,74641808564840.0,70748946853793.0,56655751920672.0,35118213317115.0,3.083222266466e+26,0.721,5592.0,4047.0,1.951,745071692,871660747,992649129,1.266,56047,59787,55183,56824,20.174,19.669,19.842,19.868,67.884,79.226,90.156,111.049,109.595,126.424,93.05
2013-05-02,10076293,10002333,9414883,9194590,8351218,5693447,9910774,9563613,9163550,8367812,6376822,10039313,9643101,9358252,8832467,6895995,4703324940710.0,75315240630626.0,72822187049743.0,67801694635140.0,47454258894983.0,72688758542328.0,67685769620077.0,52185197520795.0,74330982550014.0,70948420726995.0,57175618778241.0,35153205395495.0,3.0893696239446e+26,0.731,5618.0,4010.0,1.949,756362281,879602157,1003372715,1.267,56003,59456,54999,56343,20.18,19.678,19.85,19.88,68.893,79.925,91.105,102.694,108.42,126.909,96.0
2013-05-03,10076293,10076293,9572312,9273304,8463900,5772419,9993534,9691783,9285249,8478036,6458129,10076293,9808454,9475812,8943762,6992321,4828038402382.0,74097052821725.0,73587553441276.0,68147146610619.0,47973131803795.0,72414780978454.0,67875973309960.0,52590664098651.0,74039214518484.0,71131145383649.0,57685062029192.0,35127864617146.0,3.0849171814013e+26,0.74,5638.0,3981.0,1.945,766648132,885337757,1011816884,1.261,55969,58789,54623,55679,20.188,19.687,19.858,19.892,69.812,80.426,91.848,105.04,110.54,124.135,95.875
2013-05-04,10076293,10076293,9729740,9352018,8576582,5851391,10034913,9787911,9390721,8581150,6537649,10076293,9934449,9582877,9047787,7086912,4940278578686.0,74340341003519.0,74293663312670.0,68793039473294.0,48539402630576.0,72712708984035.0,68312958323531.0,53075467987039.0,74180772862356.0,71550635345564.0,58271350143841.0,35186544126973.0,3.0952322189986e+26,0.748,5657.0,3965.0,1.939,777227265,891527806,1020615497,1.261,55848,57783,53780,54568,20.196,19.696,19.866,19.903,70.757,80.967,92.622,113.464,112.503,120.333,95.495
2013-05-05,10076293,10076293,9887168,9430732,8678957,5930364,10055603,9860006,9482131,8677610,6615421,10076293,10021087,9679447,9144543,7179767,5040045469621.0,74949707297719.0,74209910055952.0,69579467143093.0,49081214335239.0,73072119098114.0,68770721324570.0,53566299126657.0,74329389065950.0,71977425369199.0,58861875027557.0,35322798225669.0,3.1192501862284e+26,0.757,5691.0,3931.0,1.931,788838779,899648583,1031248374,1.259,55797,56937,53145,53674,20.207,19.704,19.872,19.914,71.794,81.681,93.561,113.005,111.738,119.685,95.372
2013-05-06,10076293,10076293,10044596,9509446,8759067,6007704,10065948,9914078,9561352,8767848,6691484,10076293,10068369,9765522,9234693,7270886,5137023472602.0,76095578803116.0,75247381083955.0,70419790429666.0,49753357264405.0,74934224998047.0,69949249842185.0,54301938999645.0,76039789504837.0,73103776737232.0,59696088192664.0,35879690392555.0,3.2183804566639e+26,0.765,5717.0,3895.0,1.922,800398114,907489011,1041524181,1.262,55796,56869,52944,53229,20.216,19.712,19.877,19.922,72.826,82.369,94.466,110.375,112.241,120.096,94.551
2013-05-07,10076293,10076293,10076293,9588160,8839176,6083269,10071120,9954632,9630011,8852264,6765876,10076293,10076293,9841102,9319676,7360306,5232294401290.0,76792300371253.0,76050129836720.0,71135569123447.0,50408030884870.0,76167445059813.0,70867580527289.0,54958673866934.0,77231255421816.0,73991749965079.0,60452791889299.0,36216930737343.0,3.2791651800837e+26,0.774,5745.0,3852.0,1.912,811593671,914524664,1050913480,1.264,55953,57084,53266,53298,20.227,19.72,19.882,19.931,73.825,82.985,95.292,109.595,108.635,119.388,95.46
2013-05-08,10076293,10076293,10076293,9666874,8919286,6158833,10073707,9985047,9689515,8931233,6838632,10076293,10076293,9906186,9399490,7448065,5316145264416.0,78284810218433.0,76854408172135.0,71873273321086.0,51090435087526.0,77409020318329.0,71810269493185.0,55629455968730.0,78488472710077.0,74917149344126.0,61223588122569.0,36518792723039.0,3.3340555548707e+26,0.782,5767.0,3822.0,1.901,822608258,921225015,1059876051,1.264,55833,56715,53424,53209,20.241,19.728,19.888,19.94,74.807,83.57,96.078,108.42,104.575,115.014,96.892
2013-05-09,10076293,10076293,10076293,9745588,8999396,6234398,10075000,10007858,9741086,9005108,6909789,10076293,10076293,9960775,9474135,7534163,5388576061981.0,80055664415658.0,77685452523142.0,72469473526186.0,51738449385318.0,78154170933060.0,72532035972903.0,56230954737084.0,79307571610968.0,75634851060754.0,61924845591608.0,36690340313702.0,3.3654526808381e+26,0.79,5789.0,3790.0,1.889,833389111,927500728,1068319165,1.267,55898,56122,53646,53218,20.255,19.737,19.893,19.949,75.767,84.116,96.817,110.54,107.0,110.585,97.39
2013-05-10,10076293,10076293,10076293,9824302,9079506,6309963,10075646,10024967,9785780,9074217,6979383,10076293,10076293,10004869,9543613,7618600,5449586793985.0,81909854921989.0,78003453871857.0,72916365410061.0,52404632625134.0,78882049522997.0,73246953675141.0,56832763651820.0,80097945988894.0,76353805049877.0,62625390887702.0,36803716543187.0,3.3862838784782e+26,0.798,5815.0,3758.0,1.877,844340285,934166959,1077053784,1.27,56010,55201,53807,53220,20.265,19.745,19.897,19.956,76.742,84.696,97.581,112.503,110.492,105.935,95.932
